Actual,Predicted
38488.33984375,38845.61797678051
38403.23046875,38527.10400720242
38354.08984375,38372.498827737916
38790.55859375,38379.441968845014
38942.0703125,38757.89068147763
39584.578125,38956.824916443315
40150.7890625,39530.596445243464
40487.390625,40150.35288888194
39986.328125,40462.86195144332
39762.48046875,40011.574013324826
39785.8984375,39738.75729991994
39810.87890625,39803.645125240095
39587.6796875,39811.33687345786
39688.80859375,39599.300913903404
39821.28125,39673.02144412034
39646.359375,39831.09217884258
39569.6796875,39652.70888676853
39459.62109375,39561.93015433507
39678.01953125,39473.4089157493
39663.3984375,39660.40770835555
39901.19140625,39680.39364346333
39819.109375,39873.68996848033
39774.921875,39840.817743410225
41171.3203125,39758.74602535965
41826.33984375,41099.075589324806
41456.23046875,41857.3242835422
40998.26953125,41431.0216855409
40674.55078125,40997.66366412709
40654.69921875,40695.127115743606
41069.8203125,40655.93879262173
40799.6015625,41059.278137185494
40290.69921875,40830.43913017567
40549.5390625,40283.28441265942
40794.859375,40536.40824626879
41059.1484375,40814.71787777617
41820.48046875,41032.63856327723
42718.171875,41785.587740735406
43274.671875,42695.63399665333
42649.26171875,43251.182991365116
43378.30859375,42666.60602109877
43714.30859375,43295.349768410946
43546.2890625,43771.74905712511
42888.55078125,43514.47354707048
42610.171875,42916.06606326961
42633.2890625,42606.689572632786
42807.8203125,42650.41524218671
42394.3984375,42802.527649656025
42520.26953125,42418.815109981784
42828.7890625,42488.33168151123
42718.46875,42845.51512380251
42188.7890625,42720.173290849816
42310.48828125,42198.87314394855
41938.890625,42293.98172469281
42580.26953125,41987.02846877732
43018.75,42513.707818035684
43643.80859375,43051.62579247695
43459.2890625,43587.911310468975
43837.671875,43488.00232466903
44372.5,43780.8188171044
44768.12109375,44385.542837165645
44902.26953125,44744.342174745805
44790.37890625,44894.829954349414
45303.4296875,44790.74445895899
45045.80859375,45273.85458556801
45493.66015625,45088.801719993295
45630.30859375,45428.717183653156
45754.9296875,45671.703629868396
45354.98828125,45722.018223704945
45043.75,45385.12498032869
44932.62890625,45034.401904774066
44550.8515625,44947.94246719198
44936.73046875,44570.2155137932
45769.5,44901.33674803191
47944.76171875,45768.56372559388
47950.87890625,47865.80053468339
47734.98828125,48019.34713617668
48580.44140625,47631.464409285196
48088.80078125,48583.24266517799
46847.3203125,48141.639352556616
47672.671875,46828.63302308417
48277.73828125,47629.835999587005
47582.1484375,48319.82543745183
49185.5,47577.00284390865
49316.05859375,49098.22073167932
49307.7890625,49394.70276442732
48641.609375,49218.510994225086
49299.6484375,48714.15374528412
50512.3203125,49203.696071429564
50219.1796875,50508.95186353777
51307.6484375,50232.23078984125
51325.609375,51220.38665894761
52411.33984375,51392.197464488425
51497.19921875,52286.54383349643
50212.26953125,51620.336593273554
50883.6796875,50164.584711830605
50276.37109375,50865.501572809495
50911.76171875,50349.643685744566
50842.9296875,50818.46290191701
51063.30859375,50930.419755015966
51281.828125,51000.035359082976
50376.53125,51303.04994436552
50323.91015625,50411.82537048291
48702.98046875,50285.31246352347
48537.69921875,48822.48395780807
49823.94140625,48460.69646205406
48625.87890625,49836.724069108146
48659.51953125,48731.090671904174
49559.0703125,48577.925855692454
50167.1015625,49568.845503918754
50253.91015625,50128.945802877075
49303.28125,50256.69447758288
49303.44921875,49343.86935935517
49864.6796875,49264.61968071342
51028.421875,49866.99637241924
50491.87109375,50972.61525122693
50581.94140625,50540.76549430065
50655.1015625,50519.322784337535
50602.80078125,50689.79625752996
50148.8203125,50585.6686384177
50836.55078125,50175.06162738952
50168.109375,50787.95364837337
49383.2890625,50243.7677084712
49512.28125,49370.59573174809
49001.5,49525.24236542667
49507.2109375,49046.515217673215
50402.390625,49454.34657633153
50412.87109375,50401.24947486323
50344.1015625,50411.0076500169
50407.7890625,50324.13820614712
50750.390625,50406.4343933333
50526.921875,50726.33318616451
50339.48046875,50545.42471537774
